,source,target
0,1,0
1,2,0
2,3,0
3,4,0
4,0,1
5,2,1
6,3,1
7,4,1
8,0,2
9,1,2
10,3,2
11,4,2
12,0,3
13,1,3
14,2,3
15,4,3
16,0,4
17,1,4
18,2,4
19,3,4
20,2,1
21,3,1
22,4,1
23,1,2
24,3,2
25,4,2
26,1,3
27,2,3
28,4,3
29,1,4
30,2,4
31,3,4
32,3,1
33,2,1
34,4,1
35,1,3
36,2,3
37,4,3
38,1,2
39,3,2
40,4,2
41,1,4
42,3,4
43,2,4
44,4,5
45,6,5
46,5,4
47,6,4
48,5,6
49,4,6
50,8,7
51,9,7
52,10,7
53,11,7
54,12,7
55,13,7
56,14,7
57,15,7
58,16,7
59,17,7
60,18,7
61,7,8
62,9,8
63,10,8
64,11,8
65,12,8
66,13,8
67,14,8
68,15,8
69,16,8
70,17,8
71,18,8
72,7,9
73,8,9
74,10,9
75,11,9
76,12,9
77,13,9
78,14,9
79,15,9
80,16,9
81,17,9
82,18,9
83,7,10
84,8,10
85,9,10
86,11,10
87,12,10
88,13,10
89,14,10
90,15,10
91,16,10
92,17,10
93,18,10
94,7,11
95,8,11
96,9,11
97,10,11
98,12,11
99,13,11
100,14,11
101,15,11
102,16,11
103,17,11
104,18,11
105,7,12
106,8,12
107,9,12
108,10,12
109,11,12
110,13,12
111,14,12
112,15,12
113,16,12
114,17,12
115,18,12
116,7,13
117,8,13
118,9,13
119,10,13
120,11,13
121,12,13
122,14,13
123,15,13
124,16,13
125,17,13
126,18,13
127,7,14
128,8,14
129,9,14
130,10,14
131,11,14
132,12,14
133,13,14
134,15,14
135,16,14
136,17,14
137,18,14
138,7,15
139,8,15
140,9,15
141,10,15
142,11,15
143,12,15
144,13,15
145,14,15
146,16,15
147,17,15
148,18,15
149,7,16
150,8,16
151,9,16
152,10,16
153,11,16
154,12,16
155,13,16
156,14,16
157,15,16
158,17,16
159,18,16
160,7,17
161,8,17
162,9,17
163,10,17
164,11,17
165,12,17
166,13,17
167,14,17
168,15,17
169,16,17
170,18,17
171,7,18
172,8,18
173,9,18
174,10,18
175,11,18
176,12,18
177,13,18
178,14,18
179,15,18
180,16,18
181,17,18
182,20,19
183,21,19
184,17,19
185,22,19
186,23,19
187,19,20
188,21,20
189,17,20
190,22,20
191,23,20
192,19,21
193,20,21
194,17,21
195,22,21
196,23,21
197,19,17
198,20,17
199,21,17
200,22,17
201,23,17
202,19,22
203,20,22
204,21,22
205,17,22
206,23,22
207,19,23
208,20,23
209,21,23
210,17,23
211,22,23
212,25,24
213,26,24
214,27,24
215,28,24
216,17,24
217,10,24
218,29,24
219,30,24
220,24,25
221,26,25
222,27,25
223,28,25
224,17,25
225,10,25
226,29,25
227,30,25
228,24,26
229,25,26
230,27,26
231,28,26
232,17,26
233,10,26
234,29,26
235,30,26
236,24,27
237,25,27
238,26,27
239,28,27
240,17,27
241,10,27
242,29,27
243,30,27
244,24,28
245,25,28
246,26,28
247,27,28
248,17,28
249,10,28
250,29,28
251,30,28
252,24,17
253,25,17
254,26,17
255,27,17
256,28,17
257,10,17
258,29,17
259,30,17
260,24,10
261,25,10
262,26,10
263,27,10
264,28,10
265,17,10
266,29,10
267,30,10
268,24,29
269,25,29
270,26,29
271,27,29
272,28,29
273,17,29
274,10,29
275,30,29
276,24,30
